"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de boissons (NAF rév. 2, niveau division, poste 11)";"Codes"
"2003-06";"87.24";"A"
"2003-05";"83.03";"A"
"2003-04";"88.45";"A"
"2003-03";"86.23";"A"
"2003-02";"88.42";"A"
"2003-01";"84.54";"A"
"2002-12";"81.52";"A"
"2002-11";"85.96";"A"
"2002-10";"87.23";"A"
"2002-09";"82.46";"A"
"2002-08";"83.94";"A"
"2002-07";"78.86";"A"
"2002-06";"80.86";"A"
"2002-05";"86.17";"A"
"2002-04";"88.4";"A"
"2002-03";"87.39";"A"
"2002-02";"85.56";"A"
"2002-01";"79.53";"A"
"2001-12";"84.26";"A"
"2001-11";"80.63";"A"
"2001-10";"81.0";"A"
"2001-09";"80.26";"A"
"2001-08";"86.95";"A"
"2001-07";"79.38";"A"
"2001-06";"80.65";"A"
"2001-05";"81.14";"A"
"2001-04";"78.08";"A"
"2001-03";"76.92";"A"
"2001-02";"75.63";"A"
"2001-01";"73.69";"A"
"2000-12";"81.23";"A"
"2000-11";"78.48";"A"
"2000-10";"83.87";"A"
"2000-09";"81.85";"A"
"2000-08";"77.02";"A"
"2000-07";"79.41";"A"
"2000-06";"80.55";"A"
"2000-05";"76.29";"A"
"2000-04";"73.3";"A"
"2000-03";"71.4";"A"
"2000-02";"75.17";"A"
"2000-01";"74.86";"A"
"1999-12";"75.92";"A"
"1999-11";"88.65";"A"
"1999-10";"91.94";"A"
"1999-09";"91.89";"A"
"1999-08";"92.27";"A"
"1999-07";"89.41";"A"
"1999-06";"90.2";"A"
"1999-05";"87.05";"A"
"1999-04";"86.02";"A"
"1999-03";"84.5";"A"
"1999-02";"84.88";"A"
"1999-01";"84.95";"A"
"1998-12";"78.61";"A"
"1998-11";"81.63";"A"
"1998-10";"81.19";"A"
"1998-09";"77.6";"A"
"1998-08";"79.53";"A"
"1998-07";"82.99";"A"
"1998-06";"83.08";"A"
"1998-05";"83.28";"A"
"1998-04";"78.64";"A"
"1998-03";"82.22";"A"
"1998-02";"83.12";"A"
"1998-01";"82.46";"A"
"1997-12";"83.0";"A"
"1997-11";"78.2";"A"
"1997-10";"85.28";"A"
"1997-09";"82.99";"A"
"1997-08";"81.18";"A"
"1997-07";"74.76";"A"
"1997-06";"77.47";"A"
"1997-05";"77.37";"A"
"1997-04";"81.18";"A"
"1997-03";"78.27";"A"
"1997-02";"77.22";"A"
"1997-01";"73.41";"A"
"1996-12";"87.01";"A"
"1996-11";"78.85";"A"
"1996-10";"73.18";"A"
"1996-09";"76.09";"A"
"1996-08";"74.25";"A"
"1996-07";"72.87";"A"
"1996-06";"79.3";"A"
"1996-05";"80.25";"A"
"1996-04";"77.4";"A"
"1996-03";"77.55";"A"
"1996-02";"75.49";"A"
"1996-01";"78.15";"A"
"1995-12";"77.5";"A"
"1995-11";"76.04";"A"
"1995-10";"77.74";"A"
"1995-09";"77.32";"A"
"1995-08";"78.22";"A"
"1995-07";"86.28";"A"
"1995-06";"76.87";"A"
"1995-05";"77.51";"A"
"1995-04";"79.09";"A"
"1995-03";"76.25";"A"
"1995-02";"79.49";"A"
"1995-01";"76.27";"A"
"1994-12";"77.71";"A"
"1994-11";"80.69";"A"
"1994-10";"76.55";"A"
"1994-09";"76.51";"A"
"1994-08";"82.91";"A"
"1994-07";"84.33";"A"
"1994-06";"74.61";"A"
"1994-05";"72.28";"A"
"1994-04";"72.69";"A"
"1994-03";"81.24";"A"
"1994-02";"65.83";"A"
"1994-01";"76.6";"A"
"1993-12";"75.54";"A"
"1993-11";"74.49";"A"
"1993-10";"75.69";"A"
"1993-09";"81.85";"A"
"1993-08";"76.0";"A"
"1993-07";"74.7";"A"
"1993-06";"73.96";"A"
"1993-05";"73.98";"A"
"1993-04";"77.91";"A"
"1993-03";"78.34";"A"
"1993-02";"75.15";"A"
"1993-01";"73.26";"A"
"1992-12";"73.57";"A"
"1992-11";"72.02";"A"
"1992-10";"74.84";"A"
"1992-09";"72.4";"A"
"1992-08";"71.99";"A"
"1992-07";"74.13";"A"
"1992-06";"76.63";"A"
"1992-05";"84.09";"A"
"1992-04";"70.83";"A"
"1992-03";"74.98";"A"
"1992-02";"72.19";"A"
"1992-01";"75.1";"A"
"1991-12";"75.71";"A"
"1991-11";"77.37";"A"
"1991-10";"72.29";"A"
"1991-09";"85.17";"A"
"1991-08";"73.2";"A"
"1991-07";"73.24";"A"
"1991-06";"72.58";"A"
"1991-05";"74.45";"A"
"1991-04";"79.92";"A"
"1991-03";"73.0";"A"
"1991-02";"77.77";"A"
"1991-01";"86.54";"A"
"1990-12";"66.04";"A"
"1990-11";"76.77";"A"
"1990-10";"77.75";"A"
"1990-09";"78.07";"A"
"1990-08";"90.02";"A"
"1990-07";"80.79";"A"
"1990-06";"86.1";"A"
"1990-05";"87.53";"A"
"1990-04";"84.02";"A"
"1990-03";"85.01";"A"
"1990-02";"91.02";"A"
"1990-01";"90.29";"A"
